j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1;320,3;5,2;172,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
2;303,7;4,5;159,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
3;321,7;3,8;145,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
4;354;3,0;129,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
5;401,9;1,4;129,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
6;431,5;0,8;129,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
7;427;0,2;129,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
8;414,9;0,8;129,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
9;412,3;1,6;129,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
10;414,8;2,9;159,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
11;385,5;4,4;162,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
12;350,8;5,7;173,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
13;347,7;6,7;174,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
14;279,3;7,2;182,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
15;295,2;7,2;182,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
16;344,2;6,6;182,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
17;368,8;5,7;184,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
18;377;5,3;184,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
19;379,6;4,9;184,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
20;403,8;4,1;184,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
21;475,9;3,1;184,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
22;455,8;2,3;184,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
23;468,7;1,5;184,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
24;484;0,6;173,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
25;452,6;-1,7;188,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
26;435;-2,0;188,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
27;429,3;-2,0;188,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
28;432;-3,3;184,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
29;410,2;-3,6;184,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
30;411,1;-3,0;184,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
31;481,6;-4,1;188,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
32;475,4;-3,4;188,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
33;464,8;-2,4;204,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
34;446,1;-1,0;267,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
35;400,8;0,7;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
36;385,6;2,3;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
37;346,7;3,6;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
38;283,6;4,5;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
39;280,3;5,0;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
40;309,2;4,9;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
41;347,4;4,3;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
42;353;3,7;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
43;356,4;3,0;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
44;365,8;2,6;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
45;384,1;2,6;269,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
46;401,1;2,8;236,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
47;425,4;2,9;186,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
48;407,6;2,8;173,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
49;432;3,4;171,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
50;441,3;3,1;170,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
51;396,4;2,8;170,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
52;429;2,5;170,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
53;423,5;1,7;170,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
54;454,1;0,1;170,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
55;458,6;-1,3;170,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
56;457,6;-1,0;170,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
57;456,2;-0,3;174,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
58;439,5;0,7;183,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
59;398,5;1,9;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
60;340,3;3,3;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
61;314,7;4,5;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
62;338,9;5,0;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
63;408,2;4,9;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
64;464,5;4,4;186,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
65;466,1;4,2;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
66;462,8;4,5;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
67;440,8;5,0;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
68;401,8;5,2;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
69;393,3;4,8;233,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
70;390,1;4,2;186,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
71;388,5;3,8;183,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
72;363,6;3,4;170,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
73;332;5,0;172,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
74;327,8;5,0;170,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
75;331,5;5,1;167,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
76;345,1;4,6;167,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
77;387,2;4,1;170,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
78;403;4,7;172,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
79;421,2;4,3;186,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
80;434,5;4,1;211,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
81;430,1;4,2;211,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
82;422;4,5;232,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
83;366,7;5,0;226,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
84;336,5;5,7;232,0;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
