j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1;490;-1,7;151,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
2;478,7;-2,6;162,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
3;476,9;-2,8;177,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
4;480;-3,2;157,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
5;311,3;-3,7;123,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
6;297;-4,1;140,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
7;313,4;-4,5;125,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
8;345,4;-4,7;136,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
9;399,1;-3,8;117,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
10;424,8;-2,5;154,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
11;423,3;-0,6;168,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
12;406,8;1,1;160,7;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
13;405,5;2,6;164,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
14;410;3,5;162,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
15;381,8;4;204,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
16;347,6;3,2;180,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
17;340,3;2,2;178,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
18;274;1,9;213,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
19;291,4;2,1;196,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
20;335,4;2,3;193,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
21;364,9;2,4;211,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
22;373,6;2,7;175,6;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
23;375,2;3;195,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
24;399,3;3;162;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
25;467,2;3,1;185,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
26;449,3;3,1;207,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
27;462,4;2,9;216,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
28;477,1;2,8;170,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
29;447,4;2,9;174,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
30;432;2,7;177,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
31;422;2,1;179,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
32;426,2;2;173,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
33;489,5;2,4;187,3;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
34;407,1;2,9;293,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
35;476;4;294,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
36;469,1;6,1;275,1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
37;469,4;10,4;266,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
38;440,2;12,6;264,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
39;396,5;11,3;289,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
40;379,6;9;256;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
41;342,3;7;280,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
42;279,4;5,8;283,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
43;272,8;5,8;290,5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
44;306,1;5,5;278,8;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
45;344,4;5,3;257,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
46;346,8;5,1;237,4;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
47;347,5;5,2;177;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
48;357,1;4,8;200,2;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
49;375,9;4,6;202,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
50;396,7;4,4;186,9;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;
