j ;Ptz;t ;K;DA ;DB ;DC ;DD ;Y ;Pt;Pe;Zg;Zw;PtA ;PtB ;PtC ;PtD ;PtS;E;PeA ;PeB ;PeC ;PeD ;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1;320,3;5,2;172,0;1;1;1;1;27581,99;320,30;154,98;0,00;1957,37;0,00;0,00;320,30;0,00;0,00;0,00;0,00;0,00;164,48;-9,51;0,00;0,00;1899,55;57,82;0,00;0,00;0,00;0,00
2;303,7;4,5;159,5;1;1;1;1;24033,87;303,70;145,96;0,00;1861,92;0,00;0,00;303,70;0,00;0,00;0,00;0,00;0,00;155,47;-9,51;0,00;0,00;1804,10;57,82;0,00;0,00;0,00;0,00
3;321,7;3,8;145,0;1;1;1;1;23522,42;321,70;155,74;0,00;1965,42;0,00;0,00;321,70;0,00;0,00;0,00;0,00;0,00;165,24;-9,51;0,00;0,00;1907,60;57,82;0,00;0,00;0,00;0,00
4;354;3,0;129,0;1;1;1;1;23629,92;354,00;173,28;0,00;2151,14;0,00;0,00;354,00;0,00;0,00;0,00;0,00;0,00;182,79;-9,51;0,00;0,00;2093,32;57,82;0,00;0,00;0,00;0,00
5;401,9;1,4;129,0;1;1;1;1;27484,63;401,90;199,30;0,00;2426,57;0,00;0,00;401,90;0,00;0,00;0,00;0,00;0,00;208,81;-9,51;0,00;0,00;2368,75;57,82;0,00;0,00;0,00;0,00
6;431,5;0,8;129,0;1;1;1;1;29866,66;431,50;215,38;0,00;2596,77;0,00;0,00;431,50;0,00;0,00;0,00;0,00;0,00;224,89;-9,51;0,00;0,00;2538,95;57,82;0,00;0,00;0,00;0,00
7;427;0,2;129,0;1;1;1;1;29504,53;427,00;212,94;0,00;2570,89;0,00;0,00;427,00;0,00;0,00;0,00;0,00;0,00;222,44;-9,51;0,00;0,00;2513,07;57,82;0,00;0,00;0,00;0,00
8;414,9;0,8;129,0;1;1;1;1;28530,79;414,90;206,37;0,00;2501,32;0,00;0,00;414,90;0,00;0,00;0,00;0,00;0,00;215,87;-9,51;0,00;0,00;2443,50;57,82;0,00;0,00;0,00;0,00
9;412,3;1,6;129,0;1;1;1;1;28321,56;412,30;204,95;0,00;2486,37;0,00;0,00;412,30;0,00;0,00;0,00;0,00;0,00;214,46;-9,51;0,00;0,00;2428,55;57,82;0,00;0,00;0,00;0,00
10;414,8;2,9;159,5;1;1;1;1;34815,23;414,80;206,31;0,00;2500,74;0,00;0,00;414,80;0,00;0,00;0,00;0,00;0,00;215,82;-9,51;0,00;0,00;2442,92;57,82;0,00;0,00;0,00;0,00
11;385,5;4,4;162,9;1;1;1;1;32619,24;385,50;190,40;0,00;2332,27;0,00;0,00;385,50;0,00;0,00;0,00;0,00;0,00;199,90;-9,51;0,00;0,00;2274,45;57,82;0,00;0,00;0,00;0,00
12;350,8;5,7;173,0;1;1;1;1;30920,41;350,80;171,55;0,00;2132,74;0,00;0,00;350,80;0,00;0,00;0,00;0,00;0,00;181,05;-9,51;0,00;0,00;2074,92;57,82;0,00;0,00;0,00;0,00
13;347,7;6,7;174,2;1;1;1;1;30800,68;347,70;169,86;0,00;2114,92;0,00;0,00;347,70;0,00;0,00;0,00;0,00;0,00;179,37;-9,51;0,00;0,00;2057,10;57,82;0,00;0,00;0,00;0,00
14;279,3;7,2;182,4;1;1;1;1;24705,02;279,30;132,71;0,00;1721,62;0,00;0,00;279,30;0,00;0,00;0,00;0,00;0,00;142,21;-9,51;0,00;0,00;1663,80;57,82;0,00;0,00;0,00;0,00
15;295,2;7,2;182,5;1;1;1;1;26459,91;295,20;141,34;0,00;1813,04;0,00;0,00;295,20;0,00;0,00;0,00;0,00;0,00;150,85;-9,51;0,00;0,00;1755,22;57,82;0,00;0,00;0,00;0,00
16;344,2;6,6;182,5;1;1;1;1;31827,16;344,20;167,96;0,00;2094,79;0,00;0,00;344,20;0,00;0,00;0,00;0,00;0,00;177,47;-9,51;0,00;0,00;2036,97;57,82;0,00;0,00;0,00;0,00
17;368,8;5,7;184,2;1;1;1;1;34829,99;368,80;181,32;0,00;2236,24;0,00;0,00;368,80;0,00;0,00;0,00;0,00;0,00;190,83;-9,51;0,00;0,00;2178,42;57,82;0,00;0,00;0,00;0,00
18;377;5,3;184,2;1;1;1;1;35735,76;377,00;185,78;0,00;2283,39;0,00;0,00;377,00;0,00;0,00;0,00;0,00;0,00;195,28;-9,51;0,00;0,00;2225,57;57,82;0,00;0,00;0,00;0,00
19;379,6;4,9;184,5;1;1;1;1;36079,11;379,60;187,19;0,00;2298,34;0,00;0,00;379,60;0,00;0,00;0,00;0,00;0,00;196,70;-9,51;0,00;0,00;2240,52;57,82;0,00;0,00;0,00;0,00
20;403,8;4,1;184,5;1;1;1;1;38756,16;403,80;200,34;0,00;2437,49;0,00;0,00;403,80;0,00;0,00;0,00;0,00;0,00;209,84;-9,51;0,00;0,00;2379,67;57,82;0,00;0,00;0,00;0,00
