j;Ptz;t;K;DA;DB;DC;DD;Y;Pt;Pe;Zg;Zw;PtA;PtB;PtC;PtD;PtS;E;PeA;PeB;PeC;PeD;ZgA;ZwB;ZwC;ZwD;RA;RB;RC;RD
1;490;-1,7;151,9;1;1;1;1;40234,37;490,00;247,16;0,00;2933,14;0,00;0,00;220,00;270,00;0,00;0,00;0,00;0,00;110,00;137,16;0,00;0,00;1322,82;1610,32;0,00;0,00;0,00;0,00
2;478,7;-2,6;162,9;1;1;1;1;41835,69;478,70;241,02;0,00;2868,17;0,00;0,00;220,00;258,70;0,00;0,00;0,00;0,00;110,00;131,02;0,00;0,00;1322,82;1545,35;0,00;0,00;0,00;0,00
3;476,9;-2,8;177,1;1;1;1;1;45066,32;476,90;240,04;0,00;2857,82;0,00;0,00;220,00;256,90;0,00;0,00;0,00;0,00;110,00;130,04;0,00;0,00;1322,82;1535,00;0,00;0,00;0,00;0,00
4;480;-3,2;157,4;1;1;1;1;40634,74;480,00;241,73;0,00;2875,64;0,00;0,00;220,00;260,00;0,00;0,00;0,00;0,00;110,00;131,73;0,00;0,00;1322,82;1552,82;0,00;0,00;0,00;0,00
5;311,3;-3,7;123,4;1;1;1;1;19353,18;311,30;150,09;0,00;1905,62;0,00;0,00;220,00;91,30;0,00;0,00;0,00;0,00;110,00;40,09;0,00;0,00;1322,82;582,80;0,00;0,00;0,00;0,00
6;297;-4,1;140,6;1;1;1;1;20693,82;297,00;142,32;0,00;1823,39;0,00;0,00;220,00;77,00;0,00;0,00;0,00;0,00;110,00;32,32;0,00;0,00;1322,82;500,57;0,00;0,00;0,00;0,00
7;313,4;-4,5;125,5;1;1;1;1;19833,37;313,40;151,23;0,00;1917,69;0,00;0,00;220,00;93,40;0,00;0,00;0,00;0,00;110,00;41,23;0,00;0,00;1322,82;594,87;0,00;0,00;0,00;0,00
8;345,4;-4,7;136,7;1;1;1;1;24236,16;345,40;168,61;0,00;2101,69;0,00;0,00;220,00;125,40;0,00;0,00;0,00;0,00;110,00;58,61;0,00;0,00;1322,82;778,87;0,00;0,00;0,00;0,00
9;399,1;-3,8;117,1;1;1;1;1;24905,68;399,10;197,78;0,00;2410,47;0,00;0,00;220,00;179,10;0,00;0,00;0,00;0,00;110,00;87,78;0,00;0,00;1322,82;1087,65;0,00;0,00;0,00;0,00
10;424,8;-2,5;154,8;1;1;1;1;34790,46;424,80;211,74;0,00;2558,24;0,00;0,00;220,00;204,80;0,00;0,00;0,00;0,00;110,00;101,74;0,00;0,00;1322,82;1235,42;0,00;0,00;0,00;0,00
11;423,3;-0,6;168,7;1;1;1;1;37580,63;423,30;210,93;0,00;2549,62;0,00;0,00;220,00;203,30;0,00;0,00;0,00;0,00;110,00;100,93;0,00;0,00;1322,82;1226,80;0,00;0,00;0,00;0,00
12;406,8;1,1;160,7;1;1;1;1;34281,25;406,80;201,97;0,00;2454,74;0,00;0,00;220,00;186,80;0,00;0,00;0,00;0,00;110,00;91,97;0,00;0,00;1322,82;1131,92;0,00;0,00;0,00;0,00
13;405,5;2,6;164,2;1;1;1;1;34858,66;405,50;201,26;0,00;2447,27;0,00;0,00;220,00;185,50;0,00;0,00;0,00;0,00;110,00;91,26;0,00;0,00;1322,82;1124,45;0,00;0,00;0,00;0,00
14;410;3,5;162,5;1;1;1;1;34960,54;410,00;203,70;0,00;2473,14;0,00;0,00;220,00;190,00;0,00;0,00;0,00;0,00;110,00;93,70;0,00;0,00;1322,82;1150,32;0,00;0,00;0,00;0,00
15;381,8;4;204,2;1;1;1;1;40033,66;381,80;188,39;0,00;2310,99;0,00;0,00;220,00;161,80;0,00;0,00;0,00;0,00;110,00;78,39;0,00;0,00;1322,82;988,17;0,00;0,00;0,00;0,00
16;347,6;3,2;180,6;1;1;1;1;31876,95;347,60;169,81;0,00;2114,34;0,00;0,00;220,00;127,60;0,00;0,00;0,00;0,00;110,00;59,81;0,00;0,00;1322,82;791,52;0,00;0,00;0,00;0,00
17;340,3;2,2;178,4;1;1;1;1;30720,02;340,30;165,84;0,00;2072,37;0,00;0,00;220,00;120,30;0,00;0,00;0,00;0,00;110,00;55,84;0,00;0,00;1322,82;749,55;0,00;0,00;0,00;0,00
18;274;1,9;213,1;1;1;1;1;28110,46;274,00;129,83;0,00;1691,14;0,00;0,00;220,00;54,00;0,00;0,00;0,00;0,00;110,00;19,83;0,00;0,00;1322,82;368,32;0,00;0,00;0,00;0,00
